ubigeo;provincia;salud;educacion1;educacion2;calidad
10100;Chachapoyas;72.32;67.04;8.19;944.6
10200;Bagua;73.68;49.38;7.04;732.5
10300;Bongará;70.9;45.52;6.1;646.1
10400;Condorcanqui;66.22;33.96;5.53;230.7
10500;Luya;71.04;35.37;5.19;473.3
10600;Rodríguez de Mendoza;70.73;36.33;5.68;540.2
10700;Utcubamba;71.49;58.85;5.99;827.9
20100;Huaraz;74.78;70.55;9.28;902.7
20200;Aija;63.8;44.91;7.12;502.9
20300;Antonio Raymondi;71.46;47.71;6.07;301.2
20400;Asunción;71.36;53.49;5.69;525.9
20500;Bolognesi;70.95;52.67;7.56;682.8
20600;Carhuaz;79.66;64.06;5.38;495.3
20700;Carlos Fermín Fitzcarrald;75.04;38.35;4.84;330.5
20800;Casma;78.62;61.55;7.87;965.5
20900;Corongo;73.07;46.84;6.26;504.7
21000;Huari;75.31;50.11;6.8;569.1
21100;Huarmey;79.27;64.39;8.73;956.7
21200;Huaylas;79.62;44.37;5.61;558.6
21300;Mariscal Luzuriaga;72.8;40.85;5.07;247.3
21400;Ocros;79.03;61.22;7.25;604.6
21500;Pallasca;66.73;41.31;5.9;394.5
21600;Pomabamba;75.88;44.87;5.26;386.5
21700;Recuay;69.39;67.25;7.32;541.7
21800;Santa;78.7;70.52;9.58;1,066.80
21900;Sihuas;74.26;43.49;5.58;309.2
22000;Yungay;72.03;47.48;5.01;398.3
30100;Abancay;72.29;74.04;8.74;771.4
30200;Andahuaylas;76.05;69.88;6.24;500.5
30300;Antabamba;55.23;53.21;6.31;436.3
30400;Aymaraes;66.21;59.48;6.09;414.1
30500;Cotabambas;71.96;71.69;5.67;402.1
30600;Chincheros;70.38;63.33;5.58;358.9
30700;Grau;64.3;61.79;6.02;283
40100;Arequipa;78.3;79.37;11.08;1,190.50
40200;Camaná;82.29;71.54;9.28;1,057.10
40300;Caravelí;83.05;56.64;8.97;1,151.20
40400;Castilla;76.32;55.9;8.34;1,065.80
40500;Caylloma;78.94;66.47;8.38;1,043.70
40600;Condesuyos;79.33;55.77;8.1;1,111.30
40700;Islay;76.69;75.91;9.65;1,144.70
40800;La Unión;83.43;36.84;6.01;386.2
50100;Huamanga;70.72;69.26;8.76;685.9
50200;Cangallo;79.14;56.27;5.04;307.5
50300;Huanca Sancos;73.22;45.76;5.91;507.5
50400;Huanta;74.74;59.49;6.01;453.5
50500;La Mar;77.48;51.86;4.98;339.1
50600;Lucanas;68.27;61.89;6.93;591.8
50700;Parinacochas;59.86;66.5;7.4;637.7
50800;Paucar del Sara Sara;71.9;54.4;7.77;579.9
50900;Sucre;69.61;51.27;6.56;500.1
51000;Víctor Fajardo;77.89;50.66;5.73;430
51100;Vilcas Huamán;70.38;49.26;4.77;350.5
60100;Cajamarca;74.36;66.17;7.99;891.4
60200;Cajabamba;77.69;41;4.68;453.8
60300;Celendín;71.9;47.82;4.88;364.9
60400;Chota;72.21;53.3;4.93;463.2
60500;Contumazá;71.66;46.74;6.26;657.4
60600;Cutervo;76.32;47.57;4.89;434.9
60700;Hualgayoc;76.97;54.6;4.38;490
60800;Jaén;75.51;56.16;7.08;809.4
60900;San Ignacio;75.59;47.54;5.35;429.5
61000;San Marcos;70.05;43.46;4.69;465.1
61100;San Miguel;74.7;51.48;5.16;469.7
61200;San Pablo;66.59;43.12;4.83;393.4
61300;Santa Cruz;71.4;51.38;5.99;524.2
80100;Cusco;76.7;80.35;11.11;1,195.50
80200;Acomayo;60.61;61.13;5.03;328.6
80300;Anta;74.59;62.93;6.49;436.9
80400;Calca;73.15;58.72;6.11;464.2
80500;Canas;62.24;62.98;5.22;207.7
80600;Canchis;75.81;69.1;7.46;604.5
80700;Chumbivilcas;68.76;58.09;5.01;392.8
80800;Espinar;68.42;72.33;6.97;695
80900;La Convención;75.97;60.91;7.12;590.4
81000;Paruro;63.8;51.02;4.38;226.8
81100;Paucartambo;62.62;54.66;3.83;235.5
81200;Quispicanchi;65.53;60.42;5.45;420.8
81300;Urubamba;76.8;70.7;8.13;827
90100;Huancavelica;67.23;65.94;7.4;567.9
90200;Acobamba;74.95;58.46;5.16;269.4
90300;Angaraes;72.21;52.95;5.44;329.2
90400;Castrovirreyna;64.83;52.02;7.11;555.3
90500;Churcampa;66.04;58.68;5.02;360.4
90600;Huaytará;67.66;50.82;6.63;574.3
90700;Tayacaja;71.61;58.42;5.39;433
100100;Huánuco;74.75;67.4;8.26;828.5
100200;Ambo;74.32;54.62;5.25;470.8
100300;Dos de Mayo;67.79;52.23;5.81;548.8
100400;Huacaybamba;75.7;43.23;5;337.1
100500;Huamalies;74.56;49.46;5.59;478.5
100600;Leoncio Prado;73.24;58.14;7.73;812.5
100700;Marañón;67.09;40.89;5.1;442
100800;Pachitea;71.86;36.66;3.35;356.4
100900;Puerto Inca;71.35;32.28;5.8;649.9
101000;Lauricocha;71.2;51.92;7.35;570.6
101100;Yarowilca;73.06;55.3;5.07;269.3
110100;Ica;79.76;77.83;10.73;1,045.30
110200;Chincha;80.73;67.78;9.74;912.7
110300;Nazca;80.47;71.07;9.97;993.5
110400;Palpa;80.83;81.74;9.25;941.9
110500;Pisco;75.99;71.19;9.73;905.3
120100;Huancayo;72.65;75.39;10.09;929.7
120200;Concepción;72.23;61.5;7.7;614.2
120300;Chanchamayo;75.47;57.99;7.49;701.6
120400;Jauja;71.09;67.3;8.47;751.3
120500;Junín;69.8;63.5;7.53;559.1
120600;Satipo ;74.02;51.3;6.79;469.3
120700;Tarma;74.21;63.31;7.63;676.8
120800;Yauli;76.74;69.3;9.87;1,211.40
120900;Chupaca;72.31;67.88;8.5;768.7
130100;Trujillo;79.35;68.7;10.04;1,164.20
130200;Ascope;77.78;69.61;8.76;995.3
130300;Bolívar;79.01;31.85;5.21;289.3
130400;Chepén;78.72;67.82;7.89;925
130500;Julcán;72.23;41.39;3.94;167.8
130600;Otuzco;75.51;39.34;4.37;271.5
130700;Pacasmayo;81.45;68.65;8.46;932.2
130800;Pataz;75.08;43.46;5.71;552.3
130900;Sánchez Carrión;75.28;43.51;3.93;305
131000;Santiago de Chuco;76.96;43.52;5.51;404.6
131100;Gran Chimú;73.99;38.93;5.28;540.2
131200;Virú;77.26;49.8;6.51;906.6
140100;Chiclayo;80.5;73.78;9.55;846.6
140200;Ferreñafe;71.45;54.17;7.34;559.5
140300;Lambayeque;75.59;60.11;7.33;693.1
150100;Lima;79.97;75.96;10.62;1,530.50
150200;Barranca;81.31;69.99;8.89;1,150.10
150300;Cajatambo;70.32;48.87;7.01;473.2
150400;Canta;75.85;64.27;8.05;1,039.10
150500;Cañete;80.03;80.14;9.73;1,323.90
150600;Huaral;79.88;69.83;8.79;1,196.30
150700;Huarochirí;72.75;64.66;9.07;940.3
150800;Huaura;77.53;71.79;10.26;1,222.40
150900;Oyón;80.61;55.99;9.05;990.9
151000;Yauyos;75.46;54.82;8.33;555.2
160100;Maynas;74.19;55.67;10.03;983.6
160200;Alto Amazonas;74.25;35.59;8.06;662.4
160300;Loreto;71.94;35.41;6.07;498.8
160400;Mariscal Ramón Castilla;69.33;30.98;6.07;510.3
160500;Requena;75.04;36.48;6.79;478.9
160600;Ucayali;70.19;42.03;7.01;568.4
160700;Datem del Marañón;76.52;22.78;5.56;417.5
160800;Putumayo;78.08;27.33;5.71;679.4
170100;Tambopata;73.02;65.37;9.64;1,248.10
170200;Manú;75.24;61.05;7.85;1,248.50
170300;Tahuamanú;81.75;53.03;8.74;1,404.20
180100;Mariscal Nieto;77.75;74.46;10.42;1,424.70
180200;General Sánchez Cerro;79.02;70.1;8.33;756.6
180300;Ilo;78.07;72.65;10.77;1,361.70
190100;Pasco;74.64;79.28;9.75;761
190200;Daniel A. Carrión;72.32;81.51;7.93;301.8
190300;Oxapampa;70.32;47.64;7.15;638.2
200100;Piura;78.97;66.63;8.97;904.9
200200;Ayabaca;68.1;39.14;4.42;234.2
200300;Huancabamba;65.87;50.51;4.55;250
200400;Morropón;74.5;58.88;6.04;608.9
200500;Paita;80.2;62.51;7.85;888
200600;Sullana;79.83;68.18;8.39;799.2
200700;Talara;77.23;66.68;9.58;970.7
200800;Sechura;72.53;58.09;7.24;708
210100;Puno;70.38;77.93;9.48;836.6
210200;Azángaro;67.49;67.22;6.35;278.8
210300;Carabaya;66.05;65.58;5.92;360.8
210400;Chucuito;73.84;71.52;7.2;273.9
210500;El Collao;78.38;73.23;6.85;331.4
210600;Huancané;71.38;68.09;6.1;259.9
210700;Lampa;75.83;69.69;7.15;489.2
210800;Melgar;72.55;70.43;7.31;506.2
210900;Moho;73.89;66.31;5.42;197
211000;San Antonio de Putina;63.83;70.96;7.18;952.3
211100;San Román;73.61;78.5;9.82;831.5
211200;Sandia;73.05;67.79;6.63;469.4
211300;Yunguyo;75.47;70.48;6;361.5
220100;Moyobamba;73.22;55.61;6.9;833.5
220200;Bellavista;71.04;41.73;5.82;725.3
220300;El Dorado;74.47;33.26;4.8;443.5
220400;Huallaga;76.16;42.83;6.08;583
220500;Lamas;71.14;44.39;5.3;503.8
220600;Mariscal Cáceres;71.54;46.49;6.67;744.6
220700;Picota;75.29;42.8;6.08;726.7
220800;Rioja;73.6;51.82;6.27;809.1
220900;San Martín;72.53;70.56;9.3;1,177.60
221000;Tocache;69.63;57.46;7.18;952.8
230100;Tacna;76.69;73.56;10.36;1,000.30
230200;Candarave;70.46;63.02;6.94;373.5
230300;Jorge Basadre;74.17;69.26;10.32;1,503.80
230400;Tarata;77.68;74.01;7.7;439.7
240100;Tumbes;77.09;70.95;9.37;984.1
240200;Contralmirante Villar;73.04;62.71;8.17;970.5
240300;Zarumilla;72.1;62.94;8.21;812.2
250100;Coronel Portillo;73.4;55.51;8.93;865.5
250200;Atalaya;60.88;28.23;6.15;522.3
250300;Padre Abad;78.07;44.6;6.57;642.3
250400;Purús;67.27;20.54;7.47;551.7
;;;;;
Fuente: INEI. Censo de Población y Vivienda 2017, ENAHO 2019.;;;;;
Elaboración: PNUD / Unidad del Informe sobre Desarrollo Humano. Perú.;;;;;
;;;;;
;;;;;
;;;;;
UBIGEO;;Esperanza de vida al nacer;Con Educación secundaria completa (Poblac. 18 años);Años de educación (Poblac. 25 y más);Ingreso familiar per cápita
;Provincia;;;;
;;años;%;años;N.S. mes
;;;;;
;;;;;
150100;Lima;79.97;75.96;10.62;1,530.50
180100;Mariscal Nieto;77.75;74.46;10.42;1,424.70
180300;Ilo;78.07;72.65;10.77;1,361.70
150500;Cañete;80.03;80.14;9.73;1,323.90
230300;Jorge Basadre;74.17;69.26;10.32;1,503.80
40100;Arequipa;78.3;79.37;11.08;1,190.50
80100;Cusco;76.7;80.35;11.11;1,195.50
150800;Huaura;77.53;71.79;10.26;1,222.40
170300;Tahuamanú;81.75;53.03;8.74;1,404.20
130100;Trujillo;79.35;68.7;10.04;1,164.20
110100;Ica;79.76;77.83;10.73;1,045.30
120800;Yauli;76.74;69.3;9.87;1,211.40
150600;Huaral;79.88;69.83;8.79;1,196.30
40700;Islay;76.69;75.91;9.65;1,144.70
150200;Barranca;81.31;69.99;8.89;1,150.10
40200;Camaná;82.29;71.54;9.28;1,057.10
170100;Tambopata;73.02;65.37;9.64;1,248.10
40300;Caravelí;83.05;56.64;8.97;1,151.20
21800;Santa;78.7;70.52;9.58;1,066.80
110300;Nazca;80.47;71.07;9.97;993.5
230100;Tacna;76.69;73.56;10.36;1,000.30
110400;Palpa;80.83;81.74;9.25;941.9
220900;San Martín;72.53;70.56;9.3;1,177.60
170200;Manú;75.24;61.05;7.85;1,248.50
240100;Tumbes;77.09;70.95;9.37;984.1
40500;Caylloma;78.94;66.47;8.38;1,043.70
110200;Chincha;80.73;67.78;9.74;912.7
130200;Ascope;77.78;69.61;8.76;995.3
200700;Talara;77.23;66.68;9.58;970.7
40600;Condesuyos;79.33;55.77;8.1;1,111.30
130700;Pacasmayo;81.45;68.65;8.46;932.2
140100;Chiclayo;80.5;73.78;9.55;846.6
150900;Oyón;80.61;55.99;9.05;990.9
120100;Huancayo;72.65;75.39;10.09;929.7
21100;Huarmey;79.27;64.39;8.73;956.7
110500;Pisco;75.99;71.19;9.73;905.3
200100;Piura;78.97;66.63;8.97;904.9
150400;Canta;75.85;64.27;8.05;1,039.10
40400;Castilla;76.32;55.9;8.34;1,065.80
160100;Maynas;74.19;55.67;10.03;983.6
20100;Huaraz;74.78;70.55;9.28;902.7
130400;Chepén;78.72;67.82;7.89;925
211100;San Román;73.61;78.5;9.82;831.5
20800;Casma;78.62;61.55;7.87;965.5
150700;Huarochirí;72.75;64.66;9.07;940.3
200500;Paita;80.2;62.51;7.85;888
190100;Pasco;74.64;79.28;9.75;761
240200;Contralmirante Villar;73.04;62.71;8.17;970.5
10100;Chachapoyas;72.32;67.04;8.19;944.6
210100;Puno;70.38;77.93;9.48;836.6
200600;Sullana;79.83;68.18;8.39;799.2
81300;Urubamba;76.8;70.7;8.13;827
60100;Cajamarca;74.36;66.17;7.99;891.4
180200;General Sánchez Cerro;79.02;70.1;8.33;756.6
100100;Huánuco;74.75;67.4;8.26;828.5
250100;Coronel Portillo;73.4;55.51;8.93;865.5
30100;Abancay;72.29;74.04;8.74;771.4
120900;Chupaca;72.31;67.88;8.5;768.7
240300;Zarumilla;72.1;62.94;8.21;812.2
221000;Tocache;69.63;57.46;7.18;952.8
120400;Jauja;71.09;67.3;8.47;751.3
131200;Virú;77.26;49.8;6.51;906.6
100600;Leoncio Prado;73.24;58.14;7.73;812.5
211000;San Antonio de Putina;63.83;70.96;7.18;952.3
60800;Jaén;75.51;56.16;7.08;809.4
50100;Huamanga;70.72;69.26;8.76;685.9
220100;Moyobamba;73.22;55.61;6.9;833.5
120300;Chanchamayo;75.47;57.99;7.49;701.6
140300;Lambayeque;75.59;60.11;7.33;693.1
120700;Tarma;74.21;63.31;7.63;676.8
10700;Utcubamba;71.49;58.85;5.99;827.9
220800;Rioja;73.6;51.82;6.27;809.1
80600;Canchis;75.81;69.1;7.46;604.5
200800;Sechura;72.53;58.09;7.24;708
21400;Ocros;79.03;61.22;7.25;604.6
80800;Espinar;68.42;72.33;6.97;695
10200;Bagua;73.68;49.38;7.04;732.5
120200;Concepción;72.23;61.5;7.7;614.2
20500;Bolognesi;70.95;52.67;7.56;682.8
80900;La Convención;75.97;60.91;7.12;590.4
220600;Mariscal Cáceres;71.54;46.49;6.67;744.6
151000;Yauyos;75.46;54.82;8.33;555.2
220700;Picota;75.29;42.8;6.08;726.7
250300;Padre Abad;78.07;44.6;6.57;642.3
160200;Alto Amazonas;74.25;35.59;8.06;662.4
50800;Paucar del Sara Sara;71.9;54.4;7.77;579.9
200400;Morropón;74.5;58.88;6.04;608.9
120500;Junín;69.8;63.5;7.53;559.1
230400;Tarata;77.68;74.01;7.7;439.7
210700;Lampa;75.83;69.69;7.15;489.2
210800;Melgar;72.55;70.43;7.31;506.2
190300;Oxapampa;70.32;47.64;7.15;638.2
21700;Recuay;69.39;67.25;7.32;541.7
90100;Huancavelica;67.23;65.94;7.4;567.9
50600;Lucanas;68.27;61.89;6.93;591.8
21000;Huari;75.31;50.11;6.8;569.1
140200;Ferreñafe;71.45;54.17;7.34;559.5
101000;Lauricocha;71.2;51.92;7.35;570.6
60500;Contumazá;71.66;46.74;6.26;657.4
30200;Andahuaylas;76.05;69.88;6.24;500.5
220200;Bellavista;71.04;41.73;5.82;725.3
50700;Parinacochas;59.86;66.5;7.4;637.7
10300;Bongará;70.9;45.52;6.1;646.1
20600;Carhuaz;79.66;64.06;5.38;495.3
220400;Huallaga;76.16;42.83;6.08;583
211200;Sandia;73.05;67.79;6.63;469.4
21200;Huaylas;79.62;44.37;5.61;558.6
90600;Huaytará;67.66;50.82;6.63;574.3
160600;Ucayali;70.19;42.03;7.01;568.4
160800;Putumayo;78.08;27.33;5.71;679.4
90400;Castrovirreyna;64.83;52.02;7.11;555.3
80300;Anta;74.59;62.93;6.49;436.9
120600;Satipo ;74.02;51.3;6.79;469.3
130800;Pataz;75.08;43.46;5.71;552.3
61300;Santa Cruz;71.4;51.38;5.99;524.2
50400;Huanta;74.74;59.49;6.01;453.5
80400;Calca;73.15;58.72;6.11;464.2
20400;Asunción;71.36;53.49;5.69;525.9
20900;Corongo;73.07;46.84;6.26;504.7
50900;Sucre;69.61;51.27;6.56;500.1
100900;Puerto Inca;71.35;32.28;5.8;649.9
100300;Dos de Mayo;67.79;52.23;5.81;548.8
150300;Cajatambo;70.32;48.87;7.01;473.2
50300;Huanca Sancos;73.22;45.76;5.91;507.5
210500;El Collao;78.38;73.23;6.85;331.4
100500;Huamalies;74.56;49.46;5.59;478.5
160500;Requena;75.04;36.48;6.79;478.9
100200;Ambo;74.32;54.62;5.25;470.8
51000;Víctor Fajardo;77.89;50.66;5.73;430
131100;Gran Chimú;73.99;38.93;5.28;540.2
30500;Cotabambas;71.96;71.69;5.67;402.1
61100;San Miguel;74.7;51.48;5.16;469.7
211300;Yunguyo;75.47;70.48;6;361.5
190200;Daniel A. Carrión;72.32;81.51;7.93;301.8
60700;Hualgayoc;76.97;54.6;4.38;490
20200;Aija;63.8;44.91;7.12;502.9
230200;Candarave;70.46;63.02;6.94;373.5
10600;Rodríguez de Mendoza;70.73;36.33;5.68;540.2
220500;Lamas;71.14;44.39;5.3;503.8
90700;Tayacaja;71.61;58.42;5.39;433
160300;Loreto;71.94;35.41;6.07;498.8
60400;Chota;72.21;53.3;4.93;463.2
60900;San Ignacio;75.59;47.54;5.35;429.5
40800;La Unión;83.43;36.84;6.01;386.2
30400;Aymaraes;66.21;59.48;6.09;414.1
60600;Cutervo;76.32;47.57;4.89;434.9
131000;Santiago de Chuco;76.96;43.52;5.51;404.6
160400;Mariscal Ramón Castilla;69.33;30.98;6.07;510.3
60200;Cajabamba;77.69;41;4.68;453.8
250400;Purús;67.27;20.54;7.47;551.7
81200;Quispicanchi;65.53;60.42;5.45;420.8
210400;Chucuito;73.84;71.52;7.2;273.9
30600;Chincheros;70.38;63.33;5.58;358.9
21600;Pomabamba;75.88;44.87;5.26;386.5
10500;Luya;71.04;35.37;5.19;473.3
210300;Carabaya;66.05;65.58;5.92;360.8
61000;San Marcos;70.05;43.46;4.69;465.1
80700;Chumbivilcas;68.76;58.09;5.01;392.8
22000;Yungay;72.03;47.48;5.01;398.3
50500;La Mar;77.48;51.86;4.98;339.1
220300;El Dorado;74.47;33.26;4.8;443.5
100700;Marañón;67.09;40.89;5.1;442
50200;Cangallo;79.14;56.27;5.04;307.5
21500;Pallasca;66.73;41.31;5.9;394.5
250200;Atalaya;60.88;28.23;6.15;522.3
90300;Angaraes;72.21;52.95;5.44;329.2
30300;Antabamba;55.23;53.21;6.31;436.3
60300;Celendín;71.9;47.82;4.88;364.9
90500;Churcampa;66.04;58.68;5.02;360.4
160700;Datem del Marañón;76.52;22.78;5.56;417.5
210200;Azángaro;67.49;67.22;6.35;278.8
100400;Huacaybamba;75.7;43.23;5;337.1
210600;Huancané;71.38;68.09;6.1;259.9
20300;Antonio Raymondi;71.46;47.71;6.07;301.2
21900;Sihuas;74.26;43.49;5.58;309.2
51100;Vilcas Huamán;70.38;49.26;4.77;350.5
61200;San Pablo;66.59;43.12;4.83;393.4
90200;Acobamba;74.95;58.46;5.16;269.4
20700;Carlos Fermín Fitzcarrald;75.04;38.35;4.84;330.5
30700;Grau;64.3;61.79;6.02;283
101100;Yarowilca;73.06;55.3;5.07;269.3
80200;Acomayo;60.61;61.13;5.03;328.6
130300;Bolívar;79.01;31.85;5.21;289.3
130900;Sánchez Carrión;75.28;43.51;3.93;305
210900;Moho;73.89;66.31;5.42;197
130600;Otuzco;75.51;39.34;4.37;271.5
21300;Mariscal Luzuriaga;72.8;40.85;5.07;247.3
100800;Pachitea;71.86;36.66;3.35;356.4
200300;Huancabamba;65.87;50.51;4.55;250
80500;Canas;62.24;62.98;5.22;207.7
10400;Condorcanqui;66.22;33.96;5.53;230.7
200200;Ayabaca;68.1;39.14;4.42;234.2
81000;Paruro;63.8;51.02;4.38;226.8
81100;Paucartambo;62.62;54.66;3.83;235.5
130500;Julcán;72.23;41.39;3.94;167.8
